ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2001:4860:4860::8888,dns.google.,15169,GOOGLE,US,,,,true,1.00,2020-11-17T18:07:33Z,2020-07-24T11:28:06Z
2001:470:2351:11::1,,6939,HURRICANE,HU,,,,true,0.96,2020-09-21T22:51:32Z,2020-07-24T19:33:19Z
203.81.75.37,,9988,Myanma Posts and Telecommunications,MM,,,,false,0.91,2020-10-20T11:23:24Z,2020-07-28T16:27:42Z
209.250.128.6,typhon.tor.pathcom.com.,11342,PATHWAY,CA,Richmond Hill,9.10.4-P4,,false,0.96,2020-11-17T18:07:49Z,2020-07-29T15:26:27Z
161.200.96.9,md9.md.chula.ac.th.,3839,Chulalongkorn University,TH,Bang Khae,,,false,0.99,2020-10-20T11:23:30Z,2020-07-30T07:25:17Z
2606:4700:4700::1111,one.one.one.one.,13335,CLOUDFLARENET,US,,,,true,1.00,2020-09-15T12:50:07Z,2020-08-04T10:36:00Z
85.132.85.85,ns2.az-ix.net.,29049,Delta Telecom Ltd,AZ,,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.5,,false,0.99,2020-09-21T17:50:07Z,2020-08-05T11:37:17Z
85.25.105.193,ns1.gr.dns.d0wn.biz.,8972,Host Europe GmbH,FR,Strasbourg,powered by d0wn,,true,0.95,2020-11-17T18:06:31Z,2020-08-05T11:38:51Z
46.224.1.42,,56402,Dadeh Gostar Asr Novin P.J.S. Co.,IR,,Microsoft DNS 6.1.7601 (1DB15F75),,false,0.99,2020-11-17T18:07:39Z,2020-08-05T11:39:24Z
46.105.55.84,core4.evangelizo.org.,16276,OVH SAS,FR,,dnsmasq-2.62,,false,0.96,2020-11-17T18:08:25Z,2020-08-05T14:42:09Z
159.192.137.80,,131090,"CAT TELECOM Public Company Ltd,CAT",TH,Bangkok,,,false,0.87,2020-11-17T18:05:56Z,2020-08-06T15:02:19Z
200.221.11.100,brahms.uol.com.br.,7162,Universo Online S.A.,BR,,,,true,1.00,2020-11-17T18:07:57Z,2020-08-07T18:05:56Z
82.96.64.2,bandit.probe-networks.de.,29686,Probe Networks,DE,,Make my day,,false,1.00,2020-11-17T18:08:36Z,2020-08-08T20:03:57Z
62.134.17.82,62-134-17-82.business.static.de.bt.net.,5400,British Telecommunications PLC,,,unbound 1.4.22,,false,1.00,2020-11-11T19:08:37Z,2020-08-08T20:05:45Z
195.243.214.4,,3320,Deutsche Telekom AG,DE,Duisburg,CocaCola23,,false,0.98,2020-11-17T18:08:29Z,2020-08-08T20:06:24Z
194.209.157.109,dns3.osemziz.ch.,3303,Bluewin,CH,Emmenbruecke,,,false,1.00,2020-09-05T18:54:24Z,2020-08-08T20:07:23Z
62.212.154.152,,39647,Enreach Netherlands B.V.,NL,Amstelveen,,,false,1.00,2020-09-06T04:51:55Z,2020-08-08T20:16:27Z
37.153.202.186,rt202bb153-37-186.routit.net.,28685,Routit BV,NL,Bergambacht,,,false,0.96,2020-11-17T18:08:28Z,2020-08-08T20:16:31Z
